,id,year,first,second,third,first_origin,second_origin,third_origin,winning_team,age,first_chrono,winner_timedelta,first_seconds,second_seconds,third_seconds,average_speed,num_runners,total_length,num_stages,debut_date,end_date,first_mountain,first_mountain_origin,second_mountain,second_mountain_origin,third_mountain,third_mountain_origin,first_mountain_points,second_mountain_points,third_mountain_points,first_sprint,first_sprint_origin,second_sprint,second_sprint_origin,third_sprint,third_sprint_origin,first_sprint_points,second_sprint_points,third_sprint_points
12,13,1925,Alfredo Binda,Costante Girardengo,Giovanni Brunero,Italie,Italie,Italie,Legnano,22,137h 31min 13s,5 days 17:31:13,495073.0,,,25.6,126,3520,12,1925-05-16,1925-06-07,,,,,,,,,,,,,,,,,,
13,14,1926,Giovanni Brunero,Alfredo Binda,Arturo Bresciani,Italie,Italie,Italie,Legnano,30,137h 55min 59s,5 days 17:55:59,496559.0,,,25.113000000000003,203,3429,12,1926-05-15,1926-06-06,,,,,,,,,,,,,,,,,,
14,15,1927,Alfredo Binda,Giovanni Brunero,Antonio Negrini,Italie,Italie,Italie,Legnano,24,144h 15min 35s,6 days 00:15:35,519335.0,,,25.85,266,3758,15,1927-05-15,1927-06-06,,,,,,,,,,,,,,,,,,
15,16,1928,Alfredo Binda,Giuseppe Pancera,Bartolomeo Aymo,Italie,Italie,Italie,Legnano,25,114h 15min 19s,4 days 18:15:19,411319.0,,,26.75,298,3044,12,1928-05-12,1928-06-03,,,,,,,,,,,,,,,,,,
16,17,1929,Alfredo Binda,Domenico Piemontesi,Leonida Frascarelli,Italie,Italie,Italie,Legnano,26,107h 18min 24s,4 days 11:18:24,386304.0,,,27.29,166,2920,14,1929-05-19,1929-06-09,,,,,,,,,,,,,,,,,,
17,18,1930,Luigi Marchisio,Luigi Giacobbe,Allegro Grandi,Italie,Italie,Italie,Bianchi-Pirelli,21,115h 11min 55s,4 days 19:11:55,414715.0,,,26.88,115,3907,15,1930-05-17,1930-06-08,,,,,,,,,,,,,,,,,,
18,19,1931,Francesco Camusso,Luigi Giacobbe,Luigi Marchisio,Italie,Italie,Italie,Legnano,22,105h 50min 53s,4 days 09:50:53,381053.0,,,29.33,109,3012,12,1931-05-10,1931-05-31,,,,,,,,,,,,,,,,,,
19,20,1932,Antonio Pesenti,Jef Demuysere,Remo Bertoni,Italie,Belgique,Italie,Legnano,23,105h 50min 53s,4 days 09:50:53,381053.0,,,30.594,109,3235,13,1932-05-14,1932-06-05,,,,,,,,,,,,,,,,,,
20,21,1933,Alfredo Binda,Jef Demuysere,Domenico Piemontesi,Italie,Belgique,Italie,Legnano-Clément,30,111h 01min 52s,4 days 15:01:52,399712.0,,,30.043000000000003,97,3343,17,1933-05-06,1933-05-28,Alfredo Binda,Italie,Alfredo Bovet,Italie,Remo Bertoni,Italie,,,,,,,,,,,,
21,22,1934,Learco Guerra,Francesco Camusso,Giovanni Cazzulani,Italie,Italie,Italie,Gloria,31,121h 17min 17s,5 days 01:17:17,436637.0,,,30.548000000000002,105,3712,17,1934-05-19,1934-06-10,Remo Bertoni,Italie,Luigi Barral,Italie,Félicien Vervaecke,Belgique,,,,,,,,,,,,
